Pick,Player,Sleeper position,Consensus ADP order (not decimal ADP),Positional ADP order among ECR players,FantasyPros PPR ECR,RotoBaller PPR rank,CBS PPR rank,Highest ECR alternatives at position still available,Public PPR season projection (blank unavailable),Bye (FantasyPros)
1,Jahmyr Gibbs,RB,1,1,2,1,1,Bijan Robinson; Christian McCaffrey; Jonathan Taylor,369.6,6
2,Bijan Robinson,RB,2,2,4,2,2,Christian McCaffrey; Jonathan Taylor; James Cook III,353.3,11
3,Ja'Marr Chase,WR,3,1,1,4,3,Puka Nacua; Jaxon Smith-Njigba; Amon-Ra St. Brown,338.3,6
4,Christian McCaffrey,RB,5,3,7,5,8,Jonathan Taylor; James Cook III; Chase Brown,331.3,8
5,Jonathan Taylor,RB,6,4,10,8,7,James Cook III; Chase Brown; De'Von Achane,309.4,13
6,James Cook,RB,9,5,13,10,9,Chase Brown; De'Von Achane; Saquon Barkley,270.6,7
7,Puka Nacua,WR,4,2,3,3,4,Jaxon Smith-Njigba; Amon-Ra St. Brown; CeeDee Lamb,338.3,11
8,Amon-Ra St. Brown,WR,8,4,6,7,6,Jaxon Smith-Njigba; CeeDee Lamb; Justin Jefferson,333.5,6
9,Jaxon Smith-Njigba,WR,7,3,5,6,5,CeeDee Lamb; Justin Jefferson; Drake London,324.2,11
10,Saquon Barkley,RB,14,8,22,13,17,Chase Brown; De'Von Achane; Kenneth Walker III,274.2,10
11,Chase Brown,RB,13,7,15,17,10,De'Von Achane; Kenneth Walker III; Omarion Hampton,285.8,6
12,De'Von Achane,RB,12,6,20,14,12,Kenneth Walker III; Omarion Hampton; Ashton Jeanty,300.7,6
13,Omarion Hampton,RB,15,9,25,18,14,Kenneth Walker III; Ashton Jeanty; Derrick Henry,,7
14,Kenneth Walker,RB,19,12,24,12,13,Ashton Jeanty; Derrick Henry; Breece Hall,257.0,5
15,Ashton Jeanty,RB,18,11,28,29,24,Derrick Henry; Breece Hall; Jeremiyah Love,,13
16,CeeDee Lamb,WR,10,5,8,9,11,Justin Jefferson; Drake London; A.J. Brown,285.2,14
17,Justin Jefferson,WR,11,6,9,11,15,Drake London; A.J. Brown; Nico Collins,274.0,6
18,A.J. Brown,WR,17,7,12,23,20,Drake London; Nico Collins; Chris Olave,265.9,11
19,Drake London,WR,20,8,11,15,16,Nico Collins; Chris Olave; George Pickens,271.3,11
20,Brock Bowers,TE,22,1,19,20,25,Trey McBride; Colston Loveland; Tyler Warren,239.4,13
21,Derrick Henry,RB,16,10,34,16,18,Breece Hall; Jeremiyah Love; Kyren Williams,278.5,13
22,Nico Collins,WR,24,10,14,21,21,Chris Olave; George Pickens; DeVonta Smith,,8
23,Trey McBride,TE,25,2,17,26,26,Colston Loveland; Tyler Warren; Harold Fannin Jr.,260.4,14
24,Chris Olave,WR,26,11,16,22,22,George Pickens; DeVonta Smith; Malik Nabers,261.2,8
25,Javonte Williams,RB,28,13,43,25,32,Breece Hall; Jeremiyah Love; Kyren Williams,,14
26,George Pickens,WR,23,9,18,19,19,DeVonta Smith; Malik Nabers; Rashee Rice,,14
27,Kyren Williams,RB,29,14,42,27,39,Breece Hall; Jeremiyah Love; Travis Etienne Jr.,,11
28,Josh Allen,QB,21,1,26,39,37,Lamar Jackson; Drake Maye; Joe Burrow,367.3,7
29,Ladd McConkey,WR,43,20,33,32,34,DeVonta Smith; Malik Nabers; Rashee Rice,,7
30,Travis Etienne,RB,34,17,45,31,33,Breece Hall; Jeremiyah Love; D'Andre Swift,,8
31,Colston Loveland,TE,39,3,38,42,31,Tyler Warren; Harold Fannin Jr.; Kyle Pitts Sr.,211.0,10
32,Malik Nabers,WR,27,12,23,24,28,DeVonta Smith; Rashee Rice; Zay Flowers,,8
33,Jeremiyah Love,RB,31,15,40,36,35,Breece Hall; D'Andre Swift; Bucky Irving,,14
34,DeVonta Smith,WR,32,14,21,30,27,Rashee Rice; Zay Flowers; Garrett Wilson,,10
35,Jaylen Waddle,WR,46,21,32,41,42,Rashee Rice; Zay Flowers; Garrett Wilson,,10
36,Rashee Rice,WR,30,13,27,37,23,Zay Flowers; Garrett Wilson; Tetairoa McMillan,274.1,5
37,Tetairoa McMillan,WR,37,16,35,47,36,Zay Flowers; Garrett Wilson; Tee Higgins,,5
38,Breece Hall,RB,33,16,39,33,41,D'Andre Swift; Bucky Irving; Cam Skattebo,,13
39,Zay Flowers,WR,35,15,29,28,30,Garrett Wilson; Tee Higgins; Emeka Egbuka,,13
40,Lamar Jackson,QB,38,2,31,51,44,Drake Maye; Joe Burrow; Jalen Hurts,328.1,13
41,Cam Skattebo,RB,36,18,54,54,53,D'Andre Swift; Bucky Irving; David Montgomery,,8
42,Garrett Wilson,WR,40,17,30,38,40,Tee Higgins; Emeka Egbuka; Luther Burden III,,13
43,Davante Adams,WR,50,23,49,40,48,Tee Higgins; Emeka Egbuka; Luther Burden III,,11
44,Tee Higgins,WR,41,18,37,34,29,Emeka Egbuka; Luther Burden III; Terry McLaurin,,6
45,Emeka Egbuka,WR,42,19,41,46,45,Luther Burden III; Terry McLaurin; DJ Moore,,10
